ObjectID;Product (EN);Studio;Vitrine;Position;Brand;Model/Type;Colour;Colour 2;Designer;Year;Era;Country;Technische Beschrijving;Location (studio-vitrine-product);Origin;Photo;Conditie;Opslag (asbest etc.);Drawing Topics;;
DDP-0012;Typewriter with case;1;2;2;Olympia;Monica;White;;Unknown;1965;Mid-Century Modern;Germany;Constructed on the sturdy chassis of the renowned SM8/SM9 series but streamlined without advanced tabulator mechanics)Features an 11-inch carriage, a textured cream-painted metal top cover shell, distinct mint-green shift keys, and an integrated carrying plate system designed to anchor directly inside its matching hard-shell transport case.;1-2-2;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0013;Typewriter with lid;1;2;1;Remington;Streamliner (Sperry Rand);Blue;Crème;Carl Sundberg;1965;Mid-Century Modern;Netherlands;Sundberg designed this body architecture as part of the Remington Monarch / Sperry Rand family. It transitioned the typewriter away from heavy metal framing to a minimalist, hard-plastic enclosure featuring clean, continuous sweeping lines, recessed typing segments, and low-slung profiles meant for students and mobile professionals.;1-2-1;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Glossy Surfaces";;
DDP-0014;Typewriter with case;1;2;3;Olivetti;Lettera DL;Black;Silver;Ettore Sottsass;1965;Mid-Century Modern;Italy;Underneath its striking exterior, the machine utilizes the mechanical internal architecture of the highly popular Olivetti Lettera 32. Sottsass elevated the portable machine into a luxury fashion statement by replacing the standard green casing with a silver-framed body and adding contrasting black leatherette panels. Notably, this iconic design was used by director Francis Ford Coppola to write the screenplay for The Godfather.;1-2-3;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Multiple Rounding; Matt Surfaces";;
DDP-0015;Typewriter;1;2;3;Brother;AX-110;Crème;;Unknown;1990;Postmodern;England;This model features a sleek, integrated plastic casing characteristic of late-20th-century consumer technology. It includes an ergonomic sloped QWERTY keyboard layout, an integrated top-hinged protective paper cover lid, and a built-in briefcase-style carry handle tucked beneath the front base for easy portability.;1-2-3;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Matt Surfaces";;
DDP-0016;Typewriter with lid;1;2;5;Canon;Typestar 2;Black;Orange;Unknown;1985;Late Modern;Japan;It was built to bridge the gap between traditional mechanical typewriters and modern digital word processors. The design minimised mechanical parts by utilising an innovative internal thermal-transfer printing system. This choice of technology dramatically reduced the product's depth, height, and overall weight, rendering it slim enough to fit easily into a standard briefcase.;1-2-5;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Matt Surfaces";;
DDP-0017;Typewriter;1;2;6;Underwood;Finger Flite Universal;Grey;Red;Unknown;1950;Mid-Century Modern;U.S.A.;"This model represents a transition into 1950s modernist industrial styling. It features a cast metal body coated in a distinct textured ""crackle"" finish. It is accented by deep bordeaux-red elements (spacebar, platen knobs, logo plate) and ergonomic, concave green-grey plastic keys designed to fit fingertips smoothly.";1-2-6;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Multiple Rounding; Matt Surfaces";;
DDP-0018;Typewriter with case, manual and cartridges;1;2;8;Smith-Corona;C 420;Brown;Crème;Unknown;1978;Late Modern;U.S.A.;This model features a distinct wedge-shaped body style characteristic of late 1970s office electronics. It incorporates a textured plastic top casing, stepped layout, and a low-profile carriage integrated cleanly within the primary structural framework.;1-2-8;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Matt Surfaces";;
DDP-0019;Calculator with paper roll;1;3;2;Olivetti;logos 48;Crème;Brown;Mario Bellini;1975;Late Modern;Italy;"This electronic printing calculator represents the peak of Italian ""Cassette Futurism"" and industrial office design. Bellini focused on the ergonomics of the operator, integrating a sloped user interface, a deeply recessed hood for the green vacuum fluorescent display (VFD) to prevent glare, and a striking textured vent grille layout on the upper right.";1-3-2;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Matt Surfaces; Transparent Materials";;
DDP-0020;Calculator;1;3;2;Albona;Albona 2 AB;Black;Silver;Unknown;1945;Pre-1950;Italy;This mechanical kinking-lever calculator features a full numeric matrix keyboard arranged in vertical columns, a right-side hand crank for cycle operations, and a built-in rear paper-roll printer mechanism for data logging.;1-3-2;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Matt Surfaces";;
DDP-0021;Keyboard;1;3;1;Olivetti;Keyboard 1 (ANK 2463);Grey;Blue;Unknown;1986;Late Modern;Italy;Designed specifically for the landmark Olivetti M24 personal computer. The aesthetic features a low-profile, wedge-shaped chassis in a signature industrial dual-grey and cream palette. It is famously topped with a contrasting dark grey horizontal status bar and precise turquoise/light-blue branding.;1-3-1;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0022;Typewriter;1;3;4;Olivetti;Prestige P22-D;Crème;Grey;Mario Bellini;1990;Postmodern;Italy;This model features a distinctive postmodern, Memphis-inspired aesthetic. Its sleek, low-profile wedge shape includes a removable keyboard cover, a rear cable compartment with a hinged lid, and a built-in fold-away handle at the bottom front for ease of transit. It is celebrated for balancing industrial ergonomics with bold geometric styling, earning it a spot in the permanent collection at MoMA in New York.;1-3-4;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Singular Rounding; Matt Surfaces";;
DDP-0023;Electromechanical counting machine;1;3;3;Addo;Addo-X;Green;Grey;Unknown;1965;Mid-Century Modern;England;This machine represents mid-century functionalism, featuring an ergonomic 10-key layout angled towards the user. It is famous for its clean, modular outer shell which transitioned the brand from traditional cast-metal casings into lightweight, injection-moulded plastics.;1-3-3;Unknown;Picture;Redelijk;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0024;Pencil sharpener;1;3;5;Boston;KS Standard Vacuum Mount;Black;Silver;Unknown;1970;Late Modern;U.S.A.;This design combined the traditional industrial Boston KS multi-hole mechanism with a portable, damage-free clamping solution. Flipping the small steel lever at the base activates an internal rubber suction pad, creating a tight vacuum seal onto non-porous surfaces like office desks or utility tables without the need for drilling screws.;1-3-5;Unknown;Picture;Redelijk;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Chrome";;
DDP-0025;Pencil sharpener;1;3;5;Boston;KS Standard Vacuum Mount;Black;Silver;Unknown;1970;Late Modern;U.S.A.;This model was a major innovation for office environments because its mechanical rubber suction base allowed it to be firmly mounted on non-porous surfaces without drilling permanent screws into furniture [1, 9]. It features an adjustable eight-hole selector dial to accommodate varying pencil thicknesses.;1-3-5;Unknown;Picture;Redelijk;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Chrome";;
DDP-0026;Electronic typewriter;1;3;6;Brother ;AX 15;Crème;;Unknown;1990;Postmodern;Japan;This machine represents the late-1980s transition from mechanical to digital office equipment. It features a wedge-shaped profile optimized for typing ergonomics, integrated carrying handle mechanics, colour-coded function keys (green and blue), and an internal chassis made of lightweight plastics over a metal sub-frame.;1-3-6;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Matt Surfaces";;
DDP-0027;Typewriter;1;3;8;Olympia;Splendid 33;Black;Crème;Unknown;1960;Mid-Century Modern;West Germany;"This model features a distinct ultra-flat ""SF"" (Schreibmaschine Flach) configuration designed for maximum mobility. It incorporates a textured crinkle-effect finish on its sheet-metal shell, integrated mechanical margins, and a streamlined carriage assembly built to sit flush within its compact zippered leatherette travel case.";1-3-8;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0028;Typewriter;1;3;7;Remington Rand;Model 17;Black;Grey;Unknown;1945;Pre-1950;Netherlands;This heavy-duty office workstation typewriter features full side panels to mask the internal machinery, a decimal-tabulator system (the 1, 10, 100, 1000 keys) for accounting alignment, and an integrated paper scale strip on the carriage assembly.;1-3-7;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Matt Surfaces; Chrome";;
DDP-0029;Mechanical calculator;1;4;2;Corona;Model K Adding;Black;;Glenn J. Barrett;1930;Pre-1950;U.S.A.;"This compact desktop machine features a 7-column full keyboard layout with character keys from 1 through 9. There is a dedicated row of red clear keys positioned at the bottom of the columns. It utilizes a hand-operated lever (crank) on the right side to cycle the mechanical movement. The complex gear internals automatically output printed results onto a rear-mounted paper roll tape. The dual-labeled switch on the left side (""LÖSCHUNG"" paired with an arrow) translates to ""Error/Clear"", identifying this specific unit as an export build produced for German-speaking markets.";1-4-2;Unknown;Picture;Redelijk;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0030;Mechanical calculator;1;4;1;Aldo Bona;Albona ;Black;Silver;Unknown;1940;Pre-1950;Italy;Features a full-keyboard mechanical matrix layout where each numeric column corresponds to a specific decimal place. Inputs are entered by pressing down keys, and calculations are registered into the internal mechanism using finger power and the mechanical side crank. The paper roll feed system at the top allowed it to print and list entries.;1-4-1;Unknown;Picture;Redelijk;;"Block Shapes; Cylindrical Shapes; Multiple Rounding; Matt Surfaces";;
DDP-0031;Calculator;1;4;4;Remington;Modle 1213 (EDC1213);Crème;Black;Unknown;1970;Late Modern;Japan;Features a 12-digit layout utilizing independent vacuum-fluorescent display (VFD) tubes. It includes standard algebraic arithmetic logic, a memory bank (M+, M-, MR), decimal selection sliders, a half-height zero digit display configuration typical for the brand, and a distinctive dual red equals (=) key system.;1-4-4;Unknown;Picture;Redelijk;;"Block Shapes; Singular Rounding; Matt Surfaces; Glossy Surfaces";;
DDP-0032;Calculator with printer;1;4;3;Canon;P4-D;Crème;;Unknown;1980;Late Modern;Japan;"This device represents a transition era in office tech where portable desktop electronics became compact enough to hold in one hand (""palm size""). It features a two-tone impact-resistant thermoplastic body, mechanical slide switches for calculation parameters, and a prominent mechanical paper-feed housing at the top.";1-4-3;Unknown;Picture;Redelijk;;"Block Shapes; Singular Rounding; Matt Surfaces; Glossy Surfaces";;
DDP-0033;Calculator;1;4;3;Texas Instruments;TI-5200;Brown;Gold;Unknown;1977;Late Modern;U.S.A.;This desktop calculator features a distinct late-1970s aesthetic. It utilizes a wedge-shaped profile with a dark brown plastic chassis. A metallic, brushed faceplate surrounds the keyboard matrix to contrast with the matte housing. The display window is deeply recessed under a smoked, angled cover to enhance screen contrast.;1-4-3;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces; Glossy Surfaces";;
DDP-0034;Desktop calculator;1;4;3;Olivetti;Logos 55;Grey;Multi;Mario Bellini;1975;Late Modern;Italy;Bellini introduced a sculptural wedge shape for this series. This form was heavily inspired by the ergonomics of a traditional writing lectern, orienting the control layout directly toward the user's hands and eyes. It is highly regarded as a milestone in industrial design and is preserved in permanent museum collections like the Museum of Modern Art (MoMA) in New York.;1-4-3;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Matt Surfaces";;
DDP-0285;FM stereo receiver and amplifier;1;4;3;Bang & Olufsen;Beomaster 901 (Type 2602);Wood;Silver;Jacob Jensen;1975;Late Modern;Denmark;Known for its low-profile, sleek, horizontal presentation. It introduced an architectural aesthetic to consumer electronics, seamlessly merging natural materials like warm wood veneers with industrial matte metals.;1-4-3;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces; Chrome";;
DDP-0035;Calculator;1;4;6;ABS;Murphy;Silver;Black;Unknown;1990;Postmodern;Unknown;This vintage pocket calculator features a sleek brushed aluminium front facade, flush-integrated solar panels/cells, a high-contrast liquid crystal display, and signature square-framed keys. Dual power: functions both on barrery and solar power. It displays functionalist minimalism and directly inspired early smartphone user interface designs. ;1-4-6;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0036;Number finder;1;4;6;Albert Heijn;NummerZoeker;Turqoise;White;Unknown;1995;Postmodern;Netherlands;"The device features a simple handheld plastic casing using Albert Heijn's corporate branding colours (teal blue and white). It features a basic numeric matrix keypad, an LCD screen, and dedicated operation toggle buttons labeled ""OUD"" (Old) and ""NIEUW"" (New). It was designed as a cheap, disposable electronic utility to assist citizens during the transition phase.";1-4-6;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0037;Pocket calculator;1;4;6;PTT Telecom;Numculator;Green;Purple;Unknown;1995;Postmodern;Netherlands;This specialised pocket calculator was distributed to the Dutch public ahead of Operatie Decibel (Operation Decibel) on 10 October 1995. On this date, the Netherlands transitioned to a uniform 10-digit telephone numbering system. The device features a dedicated conversion mode to help users easily translate old, shorter phone numbers into the new 10-digit format.;1-4-6;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding; Matt Surfaces";;
DDP-0038;Pocket calculator;1;4;6;Unknown;Generic 'Credit Card' Calculator;Grey;Black;Unknown;1980;Late Modern;China;This design features a basic landscape layout with a small, unadorned 8-digit liquid crystal display (LCD). The front shell relies on a simple rectangular badge insert (blank in this image) where a corporate logo could be stamped or printed.;1-4-6;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0039;Calculator;1;4;6;Texet;B82;Yellow;Multi;Unknown;1990;Postmodern;U.S.A.;The calculator relies heavily on Memphis Group design principles. It uses a contrasting, asymmetrical color-block casing (yellow, green, blue, and red) to segment functions visually for primary school children. It features extra-large, raised plastic keys for developing fine motor skills, an angled display for desk visibility, and dual-power options (solar paneled strip and battery backup).;1-4-6;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Matt Surfaces";;
DDP-0040;Calculator;1;4;6;Texas Instruments;SR-50A;Black;Brown;Michael J. Cochran;1975;Late Modern;U.S.A.;The SR-50A was introduced as a redesigned, cost-reduced version of the original 1974 SR-50. It standardized the outer casing and button styling to match later models like the SR-52 and SR-56. It features a dark, business-like plastic body with a prominent wedge-shaped top profile to angle the red LED display towards the user.;1-4-6;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces; Glossy Surfaces";;
DDP-0041;Calculator;1;4;6;Casio;Fx-82 SUPER FRACTION;Black;Grey;Unknown;1994;Postmodern;Japan;"Features a two-piece hard shell case layout with a built-in protective slide-on cover. It uses a high-speed ""Super-FX"" interior integrated circuit, an LCD screen displaying up to 10+2 digits, and a distinct 3-tier functional layout separating system mode keys, scientific mathematical modifier rows, and standard numerical entry pads.";1-4-6;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Matt Surfaces";;
DDP-0042;Calculator;1;4;5;Texas Instruments;ti-1250;Grey;Black;Unknown;1975;Late Modern;U.S.A.;"The TI-1250 was part of the pioneering TI-1200 family. It features a distinctive vacuum fluorescent / LED bubble display window paired with a cost-optimized, iconic plastic keyset plate. It was notably one of the earliest highly successful ""one-chip"" mass-market consumer calculators.";1-4-5;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0043;Calculator with case;1;4;5;Sinclair;Cambridge Programmable;White;Black;Sir Clive Sinclair;1977;Late Modern;England;"Rare programmable scientific calculator from to '70s, Seen as collectors item due to historical meanig in early electronics. It features a compact pocket-sized body with an integrated 8-digit red LED display. It famously includes a ""pregnant"" bulge on the back compartment to accommodate a larger 9V PP3 battery. It utilizes a highly condensed 19-key layout to handle all scientific and programming functions.";1-4-5;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0044;Calculator;1;4;5;Texas Instruments;TI-30 galaxy;Crème;Grey;Unknown;1984;Late Modern;U.S.A.;This model departed from the traditional vertical 'portrait' layout of the standard TI-30 line, opting instead for a horizontal 'landscape' orientation. It features an angled LCD screen housing to reduce overhead glare, a prominent grooved texture pattern on the keys for tactical feedback, and a built-in protective hard slide case.;1-4-5;Unknown;Picture;Redelijk;;"Block Shapes; Matt Surfaces";;
DDP-0045;Telechipper;1;4;4;PTT Telecom;TeleChipper;Yellow;;Unknown;1997;Postmodern;Netherlands;"This handheld device was created to let consumers top up their electronic wallet (""Chipper"" card) from home. It featured a built-in card slot and an acoustic coupler cup in the middle. Users would slide their bank card into the slot, dial the bank's automation number on their landline telephone, and physically press their telephone handset's mouthpiece/earpiece against the device's circular rubber cup. The device used audible DTMF sound tones to securely transmit balance data and confirmation codes down the line.";1-4-4;Unknown;Picture;Goed;;"Block Shapes; Cylindrical Shapes; Singular Rounding; Matt Surfaces";;
DDP-0046;Calculator with printer;1;4;5;Casio;HR-100HT;Black;Grey;Unknown;1985;Late Modern;Japan;A classic portable desktop adding machine targeted at accountants and retail staff. It combines a physical mechanical ink roller mechanism with a digital vacuum fluorescent/LCD screen. The stepped layout separates the printing well from the slanted key matrix for better ergonomic typing.;1-4-5;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0047;Language guide and translator with case;1;4;5;Craig;M100;Black;;Ron Gordon;1979;Late Modern;U.S.A.;It was one of the earliest consumer electronic pocket translators. It utilized interchangeable internal cartridge language modules (such as English, French, and Spanish) powered by a Mostek MK3870 microcontroller.;1-4-5;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Multiple Rounding; Matt Surfaces";;
DDP-0048;Calculator with printer;1;4;5;Casio;HR-9;Crème;;Unknown;1980;Late Modern;Japan;It features an integrated miniature internal thermal/ink-roll printer mechanism at the top, a clear plastic paper-roll bay shield, rubberised primary keys, and an liquid-crystal display (LCD). The color palette relies on typical retro-computing beige with blue, grey, and red accent keys to establish distinct functional groups.;1-4-5;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0049;Pocket calculator;1;4;5;Unknown;Generic folding solar calculator;Black;Grey;Unknown;1995;Postmodern;China;"It features a lightweight plastic ""clamshell"" layout that folds closed to protect the keys and display. It utilizes a dual power system, consisting of a standard solar panel strip and an internal button cell battery backup. Branded with dupont logo (French brand) probably as gift item.";1-4-5;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Matt Surfaces";;
DDP-0050;Pocket calculator;1;4;5;Unknown;Generic solar calculator;Black;Red;Unknown;1990;Postmodern;Unknown;This model features a hard-shell folding notebook orientation where the solar panel and LCD screen sit on the top flip lid, protecting the soft rubberised buttons underneath when closed.;1-4-5;Unknown;Picture;Goed;;"Block Shapes; Matt Surfaces";;
DDP-0051;Typewriter with interchangeable typeface elements;1;4;8;IBM;Selectric II;Red;Black;Eliot Noyes;1978;Late Modern;China;"Under the strategic direction of Eliot Noyes, the Selectric II moved away from the organic, soft curves of the 1961 original towards a more architectural, hard-edged aesthetic. Its breakthrough functional design utilized a rotating mechanism colloquially called the ""golfball"" type element instead of traditional typebars, allowing a stationary paper carriage to dramatically save office desk space";1-4-8;Unknown;Picture;Goed;;"Singular Rounding; Multiple Rounding; Matt Surfaces; Chrome";;
DDP-0052;Carry bag for typewriter;1;4;7;Olivetti;Lettera 32;Blue;Black;Marcello Nizzoli;1963;Mid-Century Modern;Italy;This case was custom-molded to mirror the slim, wedge-shaped profile of the Lettera 32 portable typewriter. It represents the height of mid-century Italian industrial design, blending utility with a minimalist aesthetic. The iconic design features a signature vertical black racing stripe against a soft blue-grey vinyl body, making it instantly recognizable.;1-4-7;Unknown;Picture;Goed;;;;
DDP-0053;Cheque writer (protectograph);1;5;2;Todd;Model 1700;Green;Silver;Unknown;1930;Pre-1950;U.S.A.;This mechanical security device was built to prevent check fraud. Sliding the front levers sets a financial amount, and pulling the wooden crank handle drives an inked, textured die into the paper. This process simultaneously prints the value and deeply embosses or perforates the fibers of the check, making it impossible to alter or erase the text without destroying the paper.;1-5-2;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Multiple Rounding; Matt Surfaces";;
DDP-0054;Hole punch;1;5;1;Unknown;Heavy-Duty Lever Perforator;Grey;Wood;Unknown;1970;Late Modern;Netherlands;This utility tool prioritises pure function over commercial branding. It features a heavy cast-iron upper body assembly, a raw steel compression tension coil spring, and a basic flat metal sheet alignment margin guide. The upper machine housing is permanently bolted down to a solid varnished hardwood block base to distribute pressure evenly and stop the heavy mechanism from sliding across a desk surface during use.;1-5-1;Unknown;Picture;Redelijk;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0055;Pencil sharpener packaging;1;5;1;Boston;KS Standard;White;Red;Unknown;1970;Late Modern;U.S.A.;A folding box made of lightweight clay-coated paperboard. It features two-colour printing (maroon and black ink over a white base), a bold modernist font layout, and a simulated product photograph printed directly on the front panel;1-5-1;Unknown;Picture;Redelijk;;"Cylindrical Shapes; Glossy Surfaces; Chrome";;
DDP-0056;Staple gun;1;5;1;Skandia;Heavy Duty Cable/Wire Tacker;Silver;Brown;Unknown;1975;Late Modern;West Germany;This manual tacker is constructed from thick, stamped sheet steel. It features an integrated safety loop at the top to lock the handle down when stored, and a distinct maroon/brown coated lower guard plate acting as a base stabilizer.;1-5-1;Unknown;Picture;Redelijk;;"Multiple Rounding; Chrome";;
DDP-0057;Hole punch;1;5;1;E.J. Arnold (EA);Desktop 2-Hole Perforator;Grey;;Unknown;1960;Mid-Century Modern;;The object is a mechanical lever-operated punch constructed entirely from heavy-duty cast and sheet metal with a sprayed enamel finish. It features integrated spring-loaded cylindrical plunger pins and a flexible rubberised bottom base trim that serves both as non-slip desk feet and a tray to catch paper confetti scraps.;1-5-1;Unknown;Picture;Redelijk;;"Multiple Rounding; Glossy Surfaces";;
DDP-0058;Electromechanical counting machine;1;5;4;Olympia;1182;White;;Unknown;1955;Mid-Century Modern;Germany;It features a robust, heavy-duty industrial casing typical of mid-century German office equipment. The keys utilize a colour-coded system (terracotta orange-red for digits, muted sage green for function blocks) to establish a clear visual hierarchy and streamline numerical entry.;1-5-4;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding";;
DDP-0059;Bag sealer;1;5;3;Rapid;Phoenix;Green;;Unknown;1990;Postmodern;Sweden;This machine is a Phoenix bag closer, a widely used tool in various sectors for quickly and efficiently closing plastic bags.;1-5-3;Unknown;Picture;Goed;;"Block Shapes; Singular Rounding; Matt Surfaces";;
DDP-0060;USB hub;1;5;3;Apacer;PH150;Multi;;Unknown;2006;Digital Era;Taiwan;The Apacer PH150 is an innovative 4-port USB 2.0 hub: an iconic design known for its playful design with colorful rotating blocks.;1-5-3;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0061;Stapler;1;5;3;Boss;;Grey;;Unknown;1958;Mid-Century Modern;U.S.A.;Classic industrial mid-century desk stapler from the Boss brand, probably from the 1950s or 1960s. Made of sturdy metal.;1-5-3;Unknown;Picture;Goed;;"Block Shapes; Multiple Rounding; Glossy Surfaces";;
DDP-0062;Stapler;1;5;3;SAX;80;Grey;;Unknown;1965;Mid-Century Modern;Austria;This is a vintage SAX 80 stapler, a classic office tool suitable for 24/6 and 26/6 staples. This Austrian brand is known for its reliability.;1-5-3;Unknown;Picture;Redelijk;;"Multiple Rounding; Matt Surfaces; Chrome";;
DDP-0063;Label maker;1;5;3;Motex;E101;Orange;;Unknown;1975;Late Modern;U.S.A.;This is a manual Motex E101 embossing label maker, which allows you to print text in relief on plastic tape.;1-5-3;Unknown;Picture;Goed;;"Cylindrical Shapes; Glossy Surfaces";;
DDP-0064;Perfume bottle;1;5;3;Cacharel;Lou Lou;Blue;;Annegret Beier;1987;Late Modern;France;This is a bottle of the famous Lou Lou perfume from the French fashion house Cacharel. The perfume was created by Jean Guichard, with the bottle designed by Annejet Beier. This design was considered highly innovative in the 1980s and has remained unchanged ever since.;1-5-3;Unknown;Picture;Goed;;"Block Shapes; Glossy Surfaces";;
DDP-0065;Tape dispenser;1;5;3;Tesa;Easy Cut Curve;Black;;Unknown;2018;Digital Era;Germany;This Tesa tape dispenser has a weighted base with a non-slip sole, allowing you to operate it with one hand without it slipping. It's made of high-quality polystyrene (plastic).;1-5-3;Unknown;Picture;Goed;;"Cylindrical Shapes; Singular Rounding; Matt Surfaces";;
